ID,group,IN,CH,PO,DO,OT
1,1,12,20,20,12,8
2,1,25,22,30,18,12
3,1,31,8,23,10,13
4,1,10,8,24,13,11
5,1,18,14,23,12,11
6,1,28,24,31,16,17
7,1,21,9,27,15,12
8,1,14,24,27,15,12
9,1,24,10,21,7,13
10,1,13,15,20,8,12
11,1,6,36,6,3,3
12,1,16,16,17,9,8
13,1,21,18,20,9,11
14,1,22,14,29,14,15
15,1,26,9,25,11,14
16,1,29,12,29,14,15
17,1,18,19,19,9,10
18,1,14,20,22,11,11
19,1,18,18,14,5,9
20,1,32,26,31,14,17
21,1,22,17,24,12,12
22,1,30,20,30,13,16
23,1,21,14,18,6,11
24,1,12,14,25,8,15
25,1,16,19,26,11,15
26,1,29,19,33,16,17
27,1,26,32,28,14,14
28,1,30,6,21,9,12
29,1,20,23,20,10,10
30,1,25,12,22,8,14
31,1,18,25,22,9,13
32,1,21,17,26,12,14
33,1,18,10,22,12,10
34,1,31,7,22,11,11
35,1,13,13,17,9,8
36,1,36,26,17,6,11
37,1,25,22,30,18,12
38,1,17,13,22,9,13
39,1,26,11,29,15,14
40,1,22,6,19,5,14
41,1,13,20,23,12,10
42,1,9,15,16,7,9
43,1,24,16,20,12,8
44,1,19,12,20,9,11
45,1,22,16,23,10,13
46,1,23,6,23,13,10
47,1,25,14,23,10,13
48,1,25,21,23,12,11
49,1,6,19,22,13,9
50,1,21,17,28,13,15
51,1,21,22,26,14,12
52,1,13,24,24,10,14
53,1,21,24,25,11,14
54,1,14,15,28,14,14
55,1,22,15,19,8,11
56,1,18,17,23,10,13
57,1,21,29,28,17,11
58,1,11,11,21,11,10
59,1,25,11,21,12,9
60,1,10,17,13,5,8
61,1,10,18,28,13,15
62,1,29,13,31,16,15
63,1,10,19,14,7,7
64,1,20,17,25,10,15
65,1,14,19,21,9,12
66,1,19,17,23,11,12
67,1,22,18,18,7,11
68,1,12,24,27,12,15
69,1,20,15,21,10,11
70,1,17,13,17,5,12
71,1,20,18,22,10,12
72,1,18,15,25,13,12
73,1,6,16,11,5,6
74,1,14,20,21,10,11
75,1,18,22,27,13,14
76,1,25,18,24,9,15
77,1,16,24,29,15,14
78,1,13,19,27,14,13
79,1,21,9,24,11,13
80,1,10,19,24,11,13
81,1,28,26,32,17,15
82,1,23,17,23,11,12
83,1,13,6,27,15,12
84,1,13,13,27,12,15
85,1,11,16,13,5,8
86,1,31,23,28,13,15
87,2,25,17,21,8,13
88,2,23,10,23,9,14
89,2,25,15,24,14,10
90,2,25,19,21,8,13
91,2,32,14,14,8,6
92,2,24,10,9,3,6
93,2,16,13,27,13,14
94,2,25,9,30,17,13
95,2,13,10,17,9,8
96,2,25,18,20,9,11
97,2,18,13,28,16,12
98,2,29,11,26,14,12
99,2,25,23,25,10,10
100,2,30,6,29,18,11
101,2,23,15,26,11,15
102,2,22,20,20,9,11
103,2,21,23,18,9,9
104,2,24,20,15,7,8
105,2,35,6,22,10,12
106,2,20,18,24,11,13
107,2,22,10,13,3,10
108,2,15,11,26,15,11
109,2,20,15,14,7,7
110,2,24,19,30,18,12
111,2,21,11,17,11,10
112,2,23,16,20,8,12
113,2,20,19,27,11,16
114,2,22,12,19,9,10
115,2,25,15,18,9,9
116,2,18,9,21,11,10
117,2,13,22,24,10,14
118,2,29,24,31,15,16
119,2,28,9,24,10,14
120,2,18,25,24,11,13
121,2,18,10,13,7,6
122,2,20,15,19,9,10
123,2,17,19,16,8,8
124,2,24,17,19,7,12
125,2,31,17,9,3,6
126,2,21,8,15,6,9
127,2,28,16,18,10,8
128,2,19,16,16,9,7
129,2,25,17,17,10,7
130,2,22,17,23,12,11
131,2,22,21,28,14,14
132,2,27,17,21,10,11
133,2,24,14,22,8,14
134,2,29,26,22,10,12
135,2,30,13,21,11,10
136,2,24,15,16,9,7
137,2,30,24,30,14,16
138,2,13,10,17,11,6
139,2,11,17,16,12,4
140,2,26,11,21,9,12
141,2,16,12,16,7,9
142,2,26,11,25,13,12
143,2,10,15,25,13,12
144,2,13,19,22,11,11
145,2,19,16,32,15,17
146,2,17,7,16,6,10
147,2,31,6,24,13,11
148,2,16,28,14,4,10
149,2,22,20,17,8,9
150,2,23,13,18,11,7
151,2,23,24,21,10,11
152,2,26,14,17,7,10
153,2,33,9,15,6,9
154,2,25,8,23,10,13
155,2,26,11,20,15,5
156,2,24,3,20,11,9
157,2,29,20,26,13,13
158,2,23,18,22,9,13
159,2,22,22,21,9,12
160,2,24,14,16,8,8
161,2,33,6,19,7,12
162,2,22,27,14,6,8
163,2,14,22,29,13,16
164,2,15,26,22,11,11
165,2,20,14,24,10,14
166,2,23,8,24,11,13
167,2,11,19,14,5,9
168,2,11,17,26,13,13
169,2,21,14,18,6,12
170,2,15,16,20,12,8
171,2,20,15,22,9,13
172,2,26,11,22,11,11
